userId,date,time,amount,category,location,mode
user120,2025-03-27,21:16,835.8,Education,Delhi,UPI
user120,2025-03-04,21:58,1894.58,Transport,Bangalore,Card
user120,2025-03-11,03:41,4402.37,Electronics,Delhi,NetBanking
user120,2025-03-02,20:13,4818.63,Health,Mumbai,NetBanking
user120,2025-03-17,18:07,2600.2,Shopping,Delhi,NetBanking
user120,2025-03-14,19:54,2087.47,Shopping,Chennai,NetBanking
user120,2025-03-20,22:53,4348.2,Shopping,Bangalore,Cash
user120,2025-03-28,14:41,4096.13,Food,Kolkata,Cash
user120,2025-03-26,14:51,2738.94,Shopping,Pune,Cash
user129,2025-03-26,02:19,2929.17,Transport,Delhi,Cash
user129,2025-03-29,03:22,1786.54,Shopping,Hyderabad,UPI
user129,2025-03-20,16:20,4055.38,Entertainment,Chennai,Cash
user129,2025-03-29,02:35,3423.02,Shopping,Pune,Card
user120,2025-03-23,19:49,2750.1,Education,Pune,Card

